competitor_deity,title,slug,inferred_form,verse_units,parity_status,notes,competitor_url
krishna,Aarti Kunj Bihari Ki,krishna-aarti,aarti,5,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/krishna-aarti
vishnu,Achyutashtakam,achyutashtakam,ashtakam,8,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/achyutashtakam
surya,Aditya Hridayam,aditya-hridayam,hridayam,31,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/aditya-hridayam
surya,Aditya Kavacham,aditya-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/aditya-kavacham
surya,Aditya Stotram,aditya-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/aditya-stotram
parvati,Ahoi Ashtami Vrat Katha,ahoi-ashtami-vrat-katha,katha,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ahoi-ashtami-vrat-katha
krishna,Akrura Stuti,akrura-stuti,stuti,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/akrura-stuti
durga,Amba Stuti,amba-stuti,stuti,13,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/amba-stuti
durga,Ambika Ashtakam,ambika-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ambika-ashtakam
parvati,Ananda Lahari,ananda-lahari,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ananda-lahari
vishnu,Ananthashayana Stotram,ananthashayana-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ananthashayana-stotram
hanuman,Anjaneya Dandakam,anjaneya-dandakam,dandakam,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/anjaneya-dandakam
hanuman,Anjaneya Stotram,anjaneya-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/anjaneya-stotram
parvati,Annapurna Ashtakam,annapurna-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/annapurna-ashtakam
parvati,Annapurna Chalisa,annapurna-chalisa,chalisa,40,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/annapurna-chalisa
parvati,Annapurna Stotram,annapurna-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/annapurna-stotram
